"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angular Velocity, Ch 1+2 (rad/s) Run #2";"Angular Acceleration, Ch 1+2 (rad/s²) Run #2";"Position, Ch 1+2 (m) Run #2";"Velocity, Ch 1+2 (m/s) Run #2";"Acceleration, Ch 1+2 (m/s²) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Angular Velocity, Ch 3+4 (rad/s) Run #2";"Angular Acceleration, Ch 3+4 (rad/s²) Run #2";"Position, Ch 3+4 (m) Run #2";"Velocity, Ch 3+4 (m/s) Run #2";"Acceleration, Ch 3+4 (m/s²) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angular Velocity, Ch 1+2 (rad/s) Run #3";"Angular Acceleration, Ch 1+2 (rad/s²) Run #3";"Position, Ch 1+2 (m) Run #3";"Velocity, Ch 1+2 (m/s) Run #3";"Acceleration, Ch 1+2 (m/s²) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Angular Velocity, Ch 3+4 (rad/s) Run #3";"Angular Acceleration, Ch 3+4 (rad/s²) Run #3";"Position, Ch 3+4 (m) Run #3";"Velocity, Ch 3+4 (m/s) Run #3";"Acceleration, Ch 3+4 (m/s²) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angular Velocity, Ch 1+2 (rad/s) Run #4";"Angular Acceleration, Ch 1+2 (rad/s²) Run #4";"Position, Ch 1+2 (m) Run #4";"Velocity, Ch 1+2 (m/s) Run #4";"Acceleration, Ch 1+2 (m/s²) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Angular Velocity, Ch 3+4 (rad/s) Run #4";"Angular Acceleration, Ch 3+4 (rad/s²) Run #4";"Position, Ch 3+4 (m) Run #4";"Velocity, Ch 3+4 (m/s) Run #4";"Acceleration, Ch 3+4 (m/s²) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4"
2,350;-1,972;2,211;36,070;-0,0471;0,053;0,861;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,477E-4;2,350;1,431;8,087;-31,416;0,0342;0,193;-0,750;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,650E-4;2,350;-1,658;-4,480;33,937;-0,0396;-0,107;0,810;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,614E-4
2,400;-1,815;3,956;31,610;-0,0433;0,094;0,755;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,663E-4;2,400;1,815;6,283;-38,203;0,0433;0,150;-0,912;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,055E-4;2,400;-1,833;-2,618;36,846;-0,0437;-0,063;0,880;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,139E-4
2,450;-1,571;5,411;25,986;-0,0375;0,129;0,620;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,888E-4;2,450;2,077;4,189;-42,664;0,0496;0,100;-1,019;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,613E-4;2,450;-1,920;-0,698;37,234;-0,0458;-0,017;0,889;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,373E-4
2,500;-1,257;6,574;19,586;-0,0300;0,157;0,468;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,638E-4;2,500;2,234;1,920;-44,797;0,0533;0,046;-1,069;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,725E-4;2,500;-1,902;1,164;35,488;-0,0454;0,028;0,847;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,341E-4
2,550;-0,908;7,389;12,799;-0,0217;0,176;0,306;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,174E-4;2,550;2,269;-0,349;-44,797;0,0542;-0,008;-1,069;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,976E-4;2,550;-1,798;2,909;32,192;-0,0429;0,069;0,769;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,529E-4
2,600;-0,506;7,854;5,624;-0,0121;0,187;0,134;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,874E-4;2,600;2,199;-2,618;-42,664;0,0525;-0,062;-1,019;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,527E-4;2,600;-1,606;4,422;27,731;-0,0383;0,106;0,662;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,922E-4
2,650;-0,105;7,970;-1,745;-0,0025;0,190;-0,042;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-9,496E-4;2,650;2,007;-4,712;-38,203;0,0479;-0,113;-0,912;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,793E-4;2,650;-1,344;5,701;22,495;-0,0321;0,136;0,537;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,166E-4
2,700;0,297;7,679;-9,502;0,0071;0,183;-0,227;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,979E-4;2,700;1,710;-6,516;-31,804;0,0408;-0,156;-0,759;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,963E-4;2,700;-1,030;6,690;16,484;-0,0246;0,160;0,394;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,784E-4
2,750;0,681;7,039;-17,647;0,0163;0,168;-0,421;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,359E-4;2,750;1,344;-7,912;-24,435;0,0321;-0,189;-0,583;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,312E-4;2,750;-0,663;7,389;9,502;-0,0158;0,176;0,227;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,650E-4
2,800;1,012;5,934;-25,598;0,0242;0,142;-0,611;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,607E-4;2,800;0,908;-8,959;-16,290;0,0217;-0,214;-0,389;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-9,076E-4;2,800;-0,279;7,679;1,939;-0,0067;0,183;0,046;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,531E-4
2,850;1,292;4,422;-31,998;0,0308;0,106;-0,764;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-9,165E-4;2,850;0,436;-9,599;-7,175;0,0104;-0,229;-0,171;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,838E-4;2,850;0,122;7,563;-5,624;0,0029;0,181;-0,134;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,987E-4
2,900;1,466;2,618;-35,294;0,0350;0,063;-0,843;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-9,054E-4;2,900;-0,070;-9,716;2,715;-0,0017;-0,232;0,065;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,416E-4;2,900;0,489;7,098;-12,605;0,0117;0,169;-0,301;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,003E-4
2,950;1,553;0,756;-35,488;0,0371;0,018;-0,847;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,534E-4;2,950;-0,559;-9,308;12,411;-0,0133;-0,222;0,296;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,541E-4;2,950;0,838;6,283;-19,199;0,0200;0,150;-0,458;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,500E-4
3,000;1,536;-0,989;-33,355;0,0367;-0,024;-0,796;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,788E-4;3,000;-1,012;-8,436;21,138;-0,0242;-0,201;0,505;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,332E-4;3,000;1,134;5,178;-25,210;0,0271;0,124;-0,602;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,951E-4
3,050;1,449;-2,618;-29,865;0,0346;-0,063;-0,713;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,689E-4;3,050;-1,414;-7,156;28,701;-0,0337;-0,171;0,685;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,638E-4;3,050;1,361;3,723;-29,865;0,0325;0,089;-0,713;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,198E-4
3,100;1,274;-4,014;-25,404;0,0304;-0,096;-0,606;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,999E-4;3,100;-1,745;-5,527;35,101;-0,0417;-0,132;0,838;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,226E-4;3,100;1,518;2,094;-32,192;0,0362;0,050;-0,769;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,046E-4
3,150;1,030;-5,178;-19,974;0,0246;-0,124;-0,477;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,323E-4;3,150;-1,972;-3,607;39,755;-0,0471;-0,086;0,949;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,427E-4;3,150;1,571;0,407;-31,998;0,0375;0,010;-0,764;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-9,571E-4
3,200;0,750;-6,050;-13,769;0,0179;-0,144;-0,329;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,847E-4;3,200;-2,112;-1,454;41,694;-0,0504;-0,035;0,995;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,913E-4;3,200;1,553;-1,164;-30,252;0,0371;-0,028;-0,722;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,282E-4
3,250;0,419;-6,574;-7,175;0,0100;-0,157;-0,171;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,146E-4;3,250;-2,129;0,698;40,336;-0,0508;0,017;0,963;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,484E-4;3,250;1,449;-2,618;-27,537;0,0346;-0,063;-0,657;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,851E-4
3,300;0,070;-6,749;-0,776;0,0017;-0,161;-0,019;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,634E-4;3,300;-2,025;2,676;36,458;-0,0483;0,064;0,870;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,459E-4;3,300;1,292;-3,956;-24,047;0,0308;-0,094;-0,574;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,184E-4
3,350;-0,262;-6,632;5,430;-0,0062;-0,158;0,130;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,851E-4;3,350;-1,850;4,363;31,610;-0,0442;0,104;0,755;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,389E-4;3,350;1,047;-5,061;-19,586;0,0250;-0,121;-0,468;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,761E-4
3,400;-0,593;-6,225;11,636;-0,0142;-0,149;0,278;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,655E-4;3,400;-1,588;5,818;26,374;-0,0379;0,139;0,630;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,357E-4;3,400;0,768;-5,934;-14,350;0,0183;-0,142;-0,343;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,491E-4
3,450;-0,908;-5,469;17,647;-0,0217;-0,131;0,421;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,568E-4;3,450;-1,257;7,039;20,556;-0,0300;0,168;0,491;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,772E-4;3,450;0,454;-6,516;-8,339;0,0108;-0,156;-0,199;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,208E-4
3,500;-1,152;-4,422;22,883;-0,0275;-0,106;0,546;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,875E-4;3,500;-0,873;7,912;13,769;-0,0208;0,189;0,329;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,888E-4;3,500;0,105;-6,807;-1,357;0,0025;-0,163;-0,032;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,487E-4
3,550;-1,344;-3,142;26,956;-0,0321;-0,075;0,644;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,652E-4;3,550;-0,454;8,436;6,012;-0,0108;0,201;0,144;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,809E-4;3,550;-0,244;-6,690;5,818;-0,0058;-0,160;0,139;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,512E-4
3,600;-1,484;-1,687;29,477;-0,0354;-0,040;0,704;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,670E-4;3,600;-0,017;8,552;-2,521;-4,1667E-4;0,204;-0,060;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,996E-4;3,600;-0,576;-6,167;12,411;-0,0137;-0,147;0,296;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,906E-4
3,650;-1,518;-0,116;29,865;-0,0362;-0,003;0,713;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,698E-4;3,650;0,419;8,203;-11,248;0,0100;0,196;-0,269;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,777E-4;3,650;-0,873;-5,411;18,229;-0,0208;-0,129;0,435;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,650E-4
3,700;-1,484;1,396;28,119;-0,0354;0,033;0,671;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,341E-4;3,700;0,820;7,389;-19,199;0,0196;0,176;-0,458;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,021E-4;3,700;-1,117;-4,363;23,465;-0,0267;-0,104;0,560;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,368E-4
3,750;-1,379;2,734;24,629;-0,0329;0,065;0,588;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,439E-4;3,750;1,169;6,225;-25,792;0,0279;0,149;-0,616;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,709E-4;3,750;-1,326;-3,025;27,731;-0,0317;-0,072;0,662;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,158E-4
3,800;-1,204;3,898;19,974;-0,0287;0,093;0,477;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,913E-4;3,800;1,449;4,771;-31,028;0,0346;0,114;-0,741;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,634E-4;3,800;-1,431;-1,513;29,671;-0,0342;-0,036;0,708;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,979E-4
3,850;-0,977;4,771;14,738;-0,0233;0,114;0,352;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,604E-4;3,850;1,658;3,083;-34,713;0,0396;0,074;-0,829;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,922E-4;3,850;-1,466;0,058;28,895;-0,0350;0,001;0,690;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,477E-4
3,900;-0,716;5,352;9,696;-0,0171;0,128;0,231;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,532E-4;3,900;1,763;1,222;-36,264;0,0421;0,029;-0,866;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,876E-4;3,900;-1,431;1,454;25,986;-0,0342;0,035;0,620;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,472E-4
3,950;-0,436;5,701;5,042;-0,0104;0,136;0,120;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,176E-4;3,950;1,780;-0,640;-35,488;0,0425;-0,015;-0,847;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,962E-4;3,950;-1,309;2,676;21,914;-0,0312;0,064;0,523;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,203E-4
4,000;-0,140;5,876;-0,194;-0,0033;0,140;-0,005;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,110E-4;4,000;1,693;-2,385;-32,579;0,0404;-0,057;-0,778;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,890E-4;4,000;-1,152;3,665;17,647;-0,0275;0,087;0,421;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,754E-4
4,050;0,157;5,760;-6,400;0,0037;0,137;-0,153;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,711E-4;4,050;1,536;-3,956;-28,313;0,0367;-0,094;-0,676;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,604E-4;4,050;-0,942;4,422;13,381;-0,0225;0,106;0,319;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,698E-4
4,100;0,454;5,236;-12,799;0,0108;0,125;-0,306;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,017E-4;4,100;1,292;-5,236;-23,271;0,0308;-0,125;-0,556;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,951E-4;4,100;-0,698;5,003;9,114;-0,0167;0,119;0,218;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,870E-4
4,150;0,698;4,422;-18,035;0,0167;0,106;-0,431;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,090E-4;4,150;0,995;-6,283;-17,647;0,0237;-0,150;-0,421;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,074E-4;4,150;-0,436;5,352;4,654;-0,0104;0,128;0,111;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,359E-4
4,200;0,890;3,374;-21,720;0,0212;0,081;-0,519;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,892E-4;4,200;0,663;-7,039;-11,248;0,0158;-0,168;-0,269;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,949E-4;4,200;-0,157;5,469;-0,194;-0,0037;0,131;-0,005;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,681E-4
4,250;1,047;2,211;-24,047;0,0250;0,053;-0,574;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,516E-4;4,250;0,279;-7,447;-3,879;0,0067;-0,178;-0,093;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,307E-4;4,250;0,122;5,352;-5,236;0,0029;0,128;-0,125;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,815E-4
4,300;1,117;0,931;-24,822;0,0267;0,022;-0,593;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,031E-4;4,300;-0,105;-7,447;3,685;-0,0025;-0,178;0,088;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,267E-4;4,300;0,384;4,945;-10,278;0,0092;0,118;-0,245;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,559E-4
4,350;1,134;-0,349;-24,241;0,0271;-0,008;-0,579;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,357E-4;4,350;-0,471;-7,039;11,054;-0,0112;-0,168;0,264;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,752E-4;4,350;0,628;4,305;-14,932;0,0150;0,103;-0,356;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,962E-4
4,400;1,082;-1,513;-22,495;0,0258;-0,036;-0,537;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,334E-4;4,400;-0,820;-6,341;18,423;-0,0196;-0,151;0,440;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,602E-4;4,400;0,820;3,432;-18,811;0,0196;0,082;-0,449;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,092E-4
4,450;0,977;-2,618;-19,974;0,0233;-0,063;-0,477;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,457E-4;4,450;-1,117;-5,236;25,598;-0,0267;-0,125;0,611;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,532E-4;4,450;0,977;2,385;-21,720;0,0233;0,057;-0,519;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,715E-4
4,500;0,820;-3,549;-16,678;0,0196;-0,085;-0,398;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-9,242E-4;4,500;-1,361;-3,723;31,416;-0,0325;-0,089;0,750;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,563E-4;4,500;1,065;1,222;-23,271;0,0254;0,029;-0,556;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,667E-4
4,550;0,611;-4,305;-12,411;0,0146;-0,103;-0,296;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,373E-4;4,550;-1,501;-1,978;34,131;-0,0358;-0,047;0,815;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,983E-4;4,550;1,100;0,000;-23,271;0,0262;0,000;-0,556;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,541E-4
4,600;0,384;-4,829;-7,369;0,0092;-0,115;-0,176;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,230E-4;4,600;-1,553;-0,175;33,355;-0,0371;-0,004;0,796;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,556E-4;4,600;1,065;-1,164;-21,526;0,0254;-0,028;-0,514;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,398E-4
4,650;0,122;-5,061;-1,745;0,0029;-0,121;-0,042;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,137E-4;4,650;-1,518;1,454;29,865;-0,0362;0,035;0,713;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,840E-4;4,650;0,977;-2,211;-18,423;0,0233;-0,053;-0,440;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,368E-4
4,700;-0,140;-5,003;3,879;-0,0033;-0,119;0,093;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-9,237E-4;4,700;-1,396;2,851;25,210;-0,0333;0,068;0,602;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,720E-4;4,700;0,838;-3,025;-14,738;0,0200;-0,072;-0,352;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,067E-4
4,750;-0,384;-4,654;8,921;-0,0092;-0,111;0,213;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,471E-4;4,750;-1,222;3,956;20,750;-0,0292;0,094;0,495;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,164E-4;4,750;0,663;-3,665;-11,054;0,0158;-0,087;-0,264;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,608E-4
4,800;-0,611;-4,072;12,993;-0,0146;-0,097;0,310;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,906E-4;4,800;-0,995;4,887;16,290;-0,0237;0,117;0,389;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,384E-4;4,800;0,471;-4,131;-7,369;0,0112;-0,099;-0,176;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,856E-4
4,850;-0,803;-3,316;15,902;-0,0192;-0,079;0,380;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,525E-4;4,850;-0,733;5,643;11,248;-0,0175;0,135;0,269;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,552E-4;4,850;0,244;-4,422;-3,103;0,0058;-0,106;-0,074;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,360E-4
